gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60158.761536287115	3.1332344049807355	0.14616977023586866	21.435584115133743	6.22477917019638e-102	1.425474429974971e-99
ENSG00000156265	31991.504444103077	3.002122957111983	0.146323065731328	20.517086230439904	1.5152629070441052e-93	1.7349760285655005e-91
ENSG00000180509	35048.31289856354	3.233706419512164	0.17091894888561668	18.919531395411532	7.875153934654984e-80	6.0113675034533045e-78
ENSG00000142192	47701.798923618626	3.0922756003385397	0.18233836881596643	16.95899563223341	1.6514315534821974e-64	9.45444564368558e-63
ENSG00000183527	7913.64855056216	2.834844938128874	0.1692414626814121	16.75029802516725	5.63433180546282e-63	2.5805239669019716e-61
ENSG00000159128	10520.231969647348	2.4963988292267922	0.1538907733693079	16.221887606191444	3.531717465983238e-59	1.347938832850269e-57
ENSG00000142168	6495.099193874045	2.985718882929941	0.2239319251374177	13.333154176644218	1.4848449156073276e-40	4.857564081058258e-39
ENSG00000160307	4690.053288306844	3.358719114089926	0.2860602057035423	11.741301471238978	7.827256553325899e-32	2.2405521883895385e-30
ENSG00000159197	1665.5953718344956	2.2395010879272284	0.20359514080794935	10.999776709011648	3.830793043955358e-28	9.747240078508633e-27
ENSG00000160284	7006.297966701997	3.4502966860355384	0.5544755941440322	6.222630396134765	4.888881566895675e-10	1.1195538788191095e-8
ENSG00000183421	2747.1910888825987	-0.6357792842252445	0.18012022294964825	-3.529749596207049	4.159531471411296e-4	0.00865938824502897
ENSG00000166265	1156.247706585546	-0.6738268023556239	0.20921165339795716	-3.2207900057741403	0.0012783778049576028	0.024395709777940918
ENSG00000156256	5806.327265104856	-0.4447313471834138	0.14702479703009896	-3.0248730565658817	0.0024873750334550243	0.043816067897015434
